# lat,lng,id,name,building_type,type,url,page_type
# sermoneta -- restaurants.csv
41.552490,12.956415,ov_old_times_41.5525_12.9564,Old Times,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/old_times_41.5525_12.9564.json,custom
41.553048,12.957139,ov_bistr__borgata_carrara_41.5530_12.9571,Bistrò Borgata Carrara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/bistr_borgata_carrara_41.5530_12.9571.json,custom
41.541294,12.959193,ov_la_casetta_41.5413_12.9592,La Casetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/la_casetta_41.5413_12.9592.json,custom
41.540614,12.957655,ov_oasi_dei_desideri_41.5406_12.9577,Oasi dei Desideri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/oasi_dei_desideri_41.5406_12.9577.json,custom
41.537350,12.961300,ov_gevima_srl_gastronomia_italiana_41.5374_12.9613,Gevima srl Gastronomia Italiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/gevima_srl_gastronomia_italiana_41.5374_12.9613.json,custom
41.550497,12.965548,ov_ristorante_pizzeria_al_laghetto_41.5505_12.9655,Ristorante Pizzeria Al Laghetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/ristorante_pizzeria_al_laghetto_41.5505_12.9655.json,custom
41.568452,12.965434,ov_ristorante_oliveto_41.5685_12.9654,Ristorante Oliveto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/ristorante_oliveto_41.5685_12.9654.json,custom
41.563831,12.970067,ov_pizza_trilussa_41.5638_12.9701,Pizza Trilussa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/pizza_trilussa_41.5638_12.9701.json,custom
41.538678,12.975741,ov_ristorante_la_torre___monticchio_41.5387_12.9757,Ristorante La Torre - Monticchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/ristorante_la_torre_-_monticchio_41.5387_12.9757.json,custom
41.547398,12.977265,ov_hosteria_la_botte_41.5474_12.9773,Hosteria La Botte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/hosteria_la_botte_41.5474_12.9773.json,custom
41.546892,12.978787,ov_la_taparita_41.5469_12.9788,la Taparita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/la_taparita_41.5469_12.9788.json,custom
41.557540,12.980011,ov_la_valle_dellusignolo_41.5575_12.9800,La Valle dellUsignolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/la_valle_dellusignolo_41.5575_12.9800.json,custom
41.549601,12.984284,ov_al_castello_41.5496_12.9843,Al Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/al_castello_41.5496_12.9843.json,custom
41.542252,12.982841,ov_la_sorgente_ristorante___sermoneta_41.5423_12.9828,La Sorgente Ristorante - Sermoneta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/la_sorgente_ristorante_-_sermoneta_41.5423_12.9828.json,custom
41.545811,12.980221,ov_ristorante_la_sorgente_di_veccia_dina_41.5458_12.9802,Ristorante La Sorgente di Veccia Dina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/ristorante_la_sorgente_di_veccia_dina_41.5458_12.9802.json,custom
41.545570,12.980956,ov_all_antica_posta_41.5456_12.9810,All'Antica Posta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/allantica_posta_41.5456_12.9810.json,custom
41.515350,12.977960,ov_pizzeria___tornata_franca_nuova_41.5153_12.9780,Pizzeria è tornata Franca Nuova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/pizzeria_tornata_franca_nuova_41.5153_12.9780.json,custom
41.501366,12.973817,ov_da_clara_osteria_tipica_41.5014_12.9738,Da Clara Osteria Tipica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/da_clara_osteria_tipica_41.5014_12.9738.json,custom
41.518229,12.992109,ov_ristorante_le_catene_41.5182_12.9921,Ristorante Le Catene,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/ristorante_le_catene_41.5182_12.9921.json,custom
41.548721,12.987238,ov_locanda_bonifacio_viii_41.5487_12.9872,Locanda Bonifacio VIII,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/locanda_bonifacio_viii_41.5487_12.9872.json,custom
41.548696,12.987303,ov_chichibio_41.5487_12.9873,Chichibio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/chichibio_41.5487_12.9873.json,custom
41.548979,12.985993,ov_ristorante_fraschetta_poli_41.5490_12.9860,Ristorante fraschetta Poli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/ristorante_fraschetta_poli_41.5490_12.9860.json,custom
41.549145,12.986000,ov_il_pomarancio_41.5491_12.9860,Il Pomarancio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/il_pomarancio_41.5491_12.9860.json,custom
41.548818,12.985856,ov_trattoria_da_marcello_41.5488_12.9859,Trattoria Da Marcello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/trattoria_da_marcello_41.5488_12.9859.json,custom
41.548926,12.986438,ov_trattoria_da_elena_41.5489_12.9864,Trattoria da Elena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/trattoria_da_elena_41.5489_12.9864.json,custom
41.548798,12.986885,ov_ristorante_simposio_al_corso_41.5488_12.9869,Ristorante Simposio al Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/ristorante_simposio_al_corso_41.5488_12.9869.json,custom
41.549697,12.984508,ov_trattoria_ghost_41.5497_12.9845,Trattoria Ghost,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/trattoria_ghost_41.5497_12.9845.json,custom
41.549019,12.985414,ov_il_giardino_del_simposio_41.5490_12.9854,Il Giardino del Simposio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/il_giardino_del_simposio_41.5490_12.9854.json,custom
41.549005,12.985371,ov_antico_emporio_41.5490_12.9854,Antico Emporio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/antico_emporio_41.5490_12.9854.json,custom
41.548972,12.985592,ov_forno_zaccheo_41.5490_12.9856,Forno Zaccheo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/forno_zaccheo_41.5490_12.9856.json,custom
41.542252,12.982841,osm_la_sorgente_41.5423_12.9828,La Sorgente,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/la_sorgente_41.5423_12.9828.json,custom
