# lat,lng,id,name,building_type,type,url,page_type
# ischia -- restaurants
40.741023,13.943793,ov_pizzeria_di_scala_40.7410_13.9438,Pizzeria Di Scala,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/pizzeria_di_scala_40.7410_13.9438.json,custom
40.743349,13.942578,ov_restaurant_la_baia_del_clipper_40.7433_13.9426,Restaurant La Baia Del Clipper,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/restaurant_la_baia_del_clipper_40.7433_13.9426.json,custom
40.743357,13.942617,ov_ristorante_ab_braciami_40.7434_13.9426,Ristorante AB_braciami,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_abbraciami_40.7434_13.9426.json,custom
40.743204,13.942553,ov_tiramisu_40.7432_13.9426,Tiramisu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/tiramisu_40.7432_13.9426.json,custom
40.743402,13.942537,ov_br__restaurant_bistrot_40.7434_13.9425,Brò_restaurant&bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/brrestaurantbistrot_40.7434_13.9425.json,custom
40.743448,13.942472,ov_ristorante_ischia_porto___pane_e_vino_40.7434_13.9425,Ristorante Ischia Porto - Pane e Vino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_ischia_porto_-_pane_e_vino_40.7434_13.9425.json,custom
40.742670,13.941891,ov_pizzare_officialpage_40.7427_13.9419,PizzaRe OfficialPage,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/pizzare_officialpage_40.7427_13.9419.json,custom
40.734945,13.944092,ov_mami_bar_pizzeria_sfizioseria_40.7349_13.9441,Mami Bar Pizzeria Sfizioseria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/mami_bar_pizzeria_sfizioseria_40.7349_13.9441.json,custom
40.733024,13.942815,ov_ristorante_pizzeria_da_gaetano_40.7330_13.9428,Ristorante Pizzeria Da Gaetano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_pizzeria_da_gaetano_40.7330_13.9428.json,custom
40.725884,13.943921,ov_la_stuzzicheria_calise_srl_40.7259_13.9439,La Stuzzicheria Calise Srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/la_stuzzicheria_calise_srl_40.7259_13.9439.json,custom
40.727730,13.936783,ov_ristorante_pizzeria_l_innominato_40.7277_13.9368,Ristorante Pizzeria L’Innominato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_pizzeria_linnominato_40.7277_13.9368.json,custom
40.717439,13.939161,ov_carusino_steak_house_40.7174_13.9392,Carusino Steak House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/carusino_steak_house_40.7174_13.9392.json,custom
40.719607,13.940427,ov_pizzeria_la_regina_minigolf_ischia_40.7196_13.9404,Pizzeria La Regina Minigolf Ischia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/pizzeria_la_regina_minigolf_ischia_40.7196_13.9404.json,custom
40.718515,13.948342,ov_la_sosta_di_bacco_40.7185_13.9483,La Sosta di Bacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/la_sosta_di_bacco_40.7185_13.9483.json,custom
40.720008,13.952321,ov_ristorante_barracuda_40.7200_13.9523,Ristorante Barracuda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_barracuda_40.7200_13.9523.json,custom
40.719730,13.952630,ov_torre_di_mezzo_40.7197_13.9526,Torre di mezzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/torre_di_mezzo_40.7197_13.9526.json,custom
40.726186,13.951236,ov_bagno_salvatore_di_pietro_manco_40.7262_13.9512,Bagno Salvatore di Pietro Manco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/bagno_salvatore_di_pietro_manco_40.7262_13.9512.json,custom
40.724144,13.950833,ov_c___pizza_per_te_40.7241_13.9508,C'è pizza per te,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/c_pizza_per_te_40.7241_13.9508.json,custom
40.723639,13.951162,ov_don_michele_ischia_pizzeria_e_rosticceri_40.7236_13.9512,Don Michele Ischia Pizzeria e Rosticceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/don_michele_ischia_pizzeria_e_rosticceri_40.7236_13.9512.json,custom
40.730844,13.947070,ov_zio_peppe_40.7308_13.9471,Zio Peppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/zio_peppe_40.7308_13.9471.json,custom
40.725952,13.947661,ov_dani_maison_40.7260_13.9477,Dani Maison,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/dani_maison_40.7260_13.9477.json,custom
40.735406,13.947907,ov_penny_burger_40.7354_13.9479,Penny Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/penny_burger_40.7354_13.9479.json,custom
40.741558,13.948264,ov_il_giardino_degli_aranci_40.7416_13.9483,Il Giardino degli Aranci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/il_giardino_degli_aranci_40.7416_13.9483.json,custom
40.742724,13.948861,ov_stabilimento_starace_40.7427_13.9489,Stabilimento Starace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/stabilimento_starace_40.7427_13.9489.json,custom
40.742875,13.947999,ov_spiaggia___ristorante_bar___lido_solemar_40.7429_13.9480,Spiaggia - Ristorante Bar - Lido Solemar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/spiaggia_-_ristorante_bar_-_lido_solemar_40.7429_13.9480.json,custom
40.743225,13.947102,ov_aenaria_beach_40.7432_13.9471,Aenaria Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/aenaria_beach_40.7432_13.9471.json,custom
40.743350,13.946981,ov_cap_e_fierr_40.7433_13.9470,Cap e Fierr,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/cap_e_fierr_40.7433_13.9470.json,custom
40.743467,13.946810,ov_ristorante_bar_bagno_ippocampo_40.7435_13.9468,Ristorante bar bagno Ippocampo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_bar_bagno_ippocampo_40.7435_13.9468.json,custom
40.743394,13.946571,ov_pazziella_beach_bar_and_restaurant_40.7434_13.9466,Pazziella Beach Bar and Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/pazziella_beach_bar_and_restaurant_40.7434_13.9466.json,custom
40.742267,13.946276,ov_ristorante_sirena___ischia_40.7423_13.9463,Ristorante Sirena - Ischia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_sirena_-_ischia_40.7423_13.9463.json,custom
40.742357,13.945753,ov_da_raffaele_ischia_40.7424_13.9458,Da Raffaele Ischia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/da_raffaele_ischia_40.7424_13.9458.json,custom
40.742363,13.945862,ov_il_grottino_40.7424_13.9459,Il Grottino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/il_grottino_40.7424_13.9459.json,custom
40.741017,13.945658,ov_cucina_fondicelli_40.7410_13.9457,Cucina Fondicelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/cucina_fondicelli_40.7410_13.9457.json,custom
40.743168,13.944754,ov_ammare_ischia_40.7432_13.9448,Ammare Ischia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ammare_ischia_40.7432_13.9448.json,custom
40.743183,13.944350,ov_ristorante_pizzeria_da_umberto_40.7432_13.9444,Ristorante Pizzeria Da Umberto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_pizzeria_da_umberto_40.7432_13.9444.json,custom
40.745342,13.944696,ov_ristorante_luigi_a_mare_40.7453_13.9447,Ristorante Luigi A Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_luigi_a_mare_40.7453_13.9447.json,custom
40.744175,13.945326,ov_ke_gusto_40.7442_13.9453,Ke-Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ke-gusto_40.7442_13.9453.json,custom
40.744204,13.945312,ov_bagno_rosetta_40.7442_13.9453,Bagno Rosetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/bagno_rosetta_40.7442_13.9453.json,custom
40.743824,13.945346,ov_da_assuntina_40.7438_13.9453,Da Assuntina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/da_assuntina_40.7438_13.9453.json,custom
40.742252,13.952732,ov_bagno_dai_tu_40.7423_13.9527,Bagno Dai Tu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/bagno_dai_tu_40.7423_13.9527.json,custom
40.741902,13.952605,ov_ristorante_duilio_40.7419_13.9526,Ristorante Duilio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_duilio_40.7419_13.9526.json,custom
40.741779,13.953501,ov_zi_nannina_40.7418_13.9535,Zi Nannina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/zi_nannina_40.7418_13.9535.json,custom
40.739458,13.952221,ov_shima_sushi_bar_40.7395_13.9522,Shima sushi bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/shima_sushi_bar_40.7395_13.9522.json,custom
40.738556,13.951949,ov_figaro_burger_house_40.7386_13.9519,Figaro Burger House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/figaro_burger_house_40.7386_13.9519.json,custom
40.739150,13.952185,ov_mitico_food_papaleo_40.7391_13.9522,Mitico Food Papaleo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/mitico_food_papaleo_40.7391_13.9522.json,custom
40.739476,13.951904,ov_rustica_domus_40.7395_13.9519,Rustica Domus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/rustica_domus_40.7395_13.9519.json,custom
40.742416,13.952469,ov_ristorante_alberto_40.7424_13.9525,Ristorante Alberto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_alberto_40.7424_13.9525.json,custom
40.742601,13.951612,ov_bagno_da_michele_a_mare_40.7426_13.9516,Bagno da Michele A Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/bagno_da_michele_a_mare_40.7426_13.9516.json,custom
40.742818,13.950850,ov_ristorante_da_bellezza_40.7428_13.9508,Ristorante da Bellezza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_da_bellezza_40.7428_13.9508.json,custom
40.742604,13.950183,ov_scalinatella_a_mare_40.7426_13.9502,Scalinatella A Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/scalinatella_a_mare_40.7426_13.9502.json,custom
40.741096,13.949206,ov_cru_40.7411_13.9492,Cru,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/cru_40.7411_13.9492.json,custom
40.740471,13.949906,ov_ischia_porto_ristorante___le_terazze___40.7405_13.9499,Ischia Porto-Ristorante ''Le Terazze'',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ischia_porto-ristorante_le_terazze_40.7405_13.9499.json,custom
40.740527,13.950060,ov_medora_40.7405_13.9501,Medora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/medora_40.7405_13.9501.json,custom
40.740574,13.949747,ov_o_solit_post_40.7406_13.9497,O'Solit Post,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/osolit_post_40.7406_13.9497.json,custom
40.740924,13.949202,ov_la_dolce_sosta_40.7409_13.9492,La Dolce Sosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/la_dolce_sosta_40.7409_13.9492.json,custom
40.739286,13.949929,ov_ristorante_visconti___ischia_40.7393_13.9499,Ristorante Visconti - Ischia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_visconti_-_ischia_40.7393_13.9499.json,custom
40.739882,13.950221,ov_ristorante_dortas_ischia_40.7399_13.9502,Ristorante Dortas Ischia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_dortas_ischia_40.7399_13.9502.json,custom
40.739902,13.950897,ov_coquille_sushi_restaurant_40.7399_13.9509,Coquille Sushi Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/coquille_sushi_restaurant_40.7399_13.9509.json,custom
40.740123,13.950840,ov_la_piazzetta___ischia_isolaverde_40.7401_13.9508,La Piazzetta - Ischia Isolaverde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/la_piazzetta_-_ischia_isolaverde_40.7401_13.9508.json,custom
40.737736,13.949424,ov_calise_40.7377_13.9494,Calise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/calise_40.7377_13.9494.json,custom
40.736116,13.953530,ov_ristorante_aragonese_40.7361_13.9535,Ristorante Aragonese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_aragonese_40.7361_13.9535.json,custom
40.734310,13.954130,ov_mar_es_restaurant_40.7343_13.9541,Marées Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/mares_restaurant_40.7343_13.9541.json,custom
40.737468,13.954713,ov_medora___restaurant_e_cocktail_bar_40.7375_13.9547,Medora - Restaurant e Cocktail Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/medora_-_restaurant_e_cocktail_bar_40.7375_13.9547.json,custom
40.737712,13.955211,ov_o__sole_mio_40.7377_13.9552,O' Sole Mio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/o_sole_mio_40.7377_13.9552.json,custom
40.737470,13.955407,ov_ristorante_pizzeria_o_sole_mio_40.7375_13.9554,Ristorante-Pizzeria O'Sole Mio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante-pizzeria_osole_mio_40.7375_13.9554.json,custom
40.736660,13.955634,ov_ristorante_bagno_lucia_40.7367_13.9556,Ristorante Bagno Lucia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_bagno_lucia_40.7367_13.9556.json,custom
40.735994,13.955691,ov_chalet_primavera_40.7360_13.9557,Chalet Primavera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/chalet_primavera_40.7360_13.9557.json,custom
40.735548,13.955921,ov_ristorante_antonietta_40.7355_13.9559,Ristorante Antonietta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_antonietta_40.7355_13.9559.json,custom
40.735149,13.955989,ov_ristorante_la_lampara_ischia_40.7351_13.9560,Ristorante La Lampara Ischia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_la_lampara_ischia_40.7351_13.9560.json,custom
40.734764,13.955950,ov_pizzeria_d_antonino_40.7348_13.9560,Pizzeria D'Antonino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/pizzeria_dantonino_40.7348_13.9560.json,custom
