# lat,lng,id,name,building_type,type,url,page_type
# lonigo -- bars_cafes
45.388879,11.388735,ov_bar_tabaccheria_al_bottegon_45.3889_11.3887,Bar Tabaccheria Al Bottegon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/bar_tabaccheria_al_bottegon_45.3889_11.3887.json,custom
45.388602,11.388891,ov_la_bottega_del_caffe_dersut_45.3886_11.3889,La Bottega del Caffe Dersut,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/la_bottega_del_caffe_dersut_45.3886_11.3889.json,custom
45.388614,11.389617,ov_wine_45.3886_11.3896,Wine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/wine_45.3886_11.3896.json,custom
45.388630,11.389661,ov_dag_piccola_birreria_45.3886_11.3897,Dag Piccola Birreria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/dag_piccola_birreria_45.3886_11.3897.json,custom
45.389217,11.390852,ov_la_piazzetta_45.3892_11.3909,La Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/la_piazzetta_45.3892_11.3909.json,custom
45.389628,11.391241,ov_ventisei_giri_wine_bar_45.3896_11.3912,Ventisei Giri Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/ventisei_giri_wine_bar_45.3896_11.3912.json,custom
45.387432,11.390347,ov_bar_due_ruote_45.3874_11.3903,Bar Due Ruote,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/bar_due_ruote_45.3874_11.3903.json,custom
45.391465,11.358493,ov_ultima_tappa_45.3915_11.3585,Ultima Tappa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/ultima_tappa_45.3915_11.3585.json,custom
45.389940,11.388976,ov_il_chiosco_45.3899_11.3890,Il Chiosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/il_chiosco_45.3899_11.3890.json,custom
45.394210,11.372170,ov_bogoni_drink_selection_45.3942_11.3722,Bogoni Drink Selection,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/bogoni_drink_selection_45.3942_11.3722.json,custom
45.397905,11.397423,ov_enoteca_45.3979_11.3974,Enoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/enoteca_45.3979_11.3974.json,custom
45.421930,11.376860,ov_restart_caf__lonigo_45.4219_11.3769,Restart Café Lonigo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonigo/pages/restart_caf_lonigo_45.4219_11.3769.json,custom
