# lat,lng,id,name,building_type,type,url,page_type
# milan -- bars_cafes
45.475890,9.183526,ov_tormaresca_45.4759_9.1835,Tormaresca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/tormaresca_45.4759_9.1835.json,custom
45.477332,9.172438,ov_vinosfera_45.4773_9.1724,Vinosfera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/vinosfera_45.4773_9.1724.json,custom
45.475259,9.172313,ov_clubhouse_26_45.4753_9.1723,Clubhouse 26,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/clubhouse_26_45.4753_9.1723.json,custom
45.475979,9.166591,ov_bar_sangiorgio_14___officina_del_gusto_45.4760_9.1666,Bar Sangiorgio 14 - Officina del Gusto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/bar_sangiorgio_14_-_officina_del_gusto_45.4760_9.1666.json,custom
45.492377,9.188985,ov_surl____enoteca_con_mescita_45.4924_9.1890,Surlì - enoteca con mescita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/surl_-_enoteca_con_mescita_45.4924_9.1890.json,custom
45.486249,9.200122,ov_executive_lounge_45.4862_9.2001,Executive Lounge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/executive_lounge_45.4862_9.2001.json,custom
45.477182,9.205271,ov_dhl_service_point__enjoy_internet_point__45.4772_9.2053,DHL Service Point (ENJOY INTERNET POINT),RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/dhl_service_point_enjoy_internet_point_45.4772_9.2053.json,custom
45.478650,9.189360,ov_speakeasy_45.4787_9.1894,Speakeasy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/speakeasy_45.4787_9.1894.json,custom
45.472738,9.189442,ov_caff__monet_45.4727_9.1894,Caffè Monet,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/caff_monet_45.4727_9.1894.json,custom
45.469700,9.191258,ov_mandarin_bar___bistrot_45.4697_9.1913,Mandarin Bar & Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/mandarin_bar_bistrot_45.4697_9.1913.json,custom
45.469007,9.186863,ov_sky_terrace_45.4690_9.1869,Sky Terrace,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/sky_terrace_45.4690_9.1869.json,custom
45.466715,9.210960,ov_fake_45.4667_9.2110,Fake,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/fake_45.4667_9.2110.json,custom
45.440004,9.241907,ov_mare_culturale_urbano_redo_45.4400_9.2419,Mare Culturale Urbano Redo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/mare_culturale_urbano_redo_45.4400_9.2419.json,custom
45.448708,9.220385,ov_bar_caff___sudan_45.4487_9.2204,Bar Caffè' Sudan,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/bar_caff_sudan_45.4487_9.2204.json,custom
45.476926,9.225201,ov_new_brand_caf__45.4769_9.2252,New Brand Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/new_brand_caf_45.4769_9.2252.json,custom
45.499096,9.169046,ov_giannosi_nicoletta_45.4991_9.1690,Giannosi Nicoletta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/giannosi_nicoletta_45.4991_9.1690.json,custom
45.515465,9.191016,ov_tap_room_gimme_more_45.5155_9.1910,Tap Room Gimme More,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/tap_room_gimme_more_45.5155_9.1910.json,custom
45.512377,9.178763,ov_biologic_bar___restaurant_45.5124_9.1788,Biologic Bar & Restaurant,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/biologic_bar_restaurant_45.5124_9.1788.json,custom
