# lat,lng,id,name,building_type,type,url,page_type
# cairo_montenotte -- restaurants.csv
44.397094,8.276856,ov_gi__pizza_44.3971_8.2769,Giò Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/gi_pizza_44.3971_8.2769.json,custom
44.397492,8.275314,ov_l_eretico_44.3975_8.2753,L'Eretico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/leretico_44.3975_8.2753.json,custom
44.397700,8.276412,ov_cleopatra_44.3977_8.2764,Cleopatra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/cleopatra_44.3977_8.2764.json,custom
44.397779,8.275437,ov_la_perla_nera_44.3978_8.2754,La Perla Nera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/la_perla_nera_44.3978_8.2754.json,custom
44.398472,8.276887,ov_ristorante_shih_jing_44.3985_8.2769,Ristorante Shih Jing,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/ristorante_shih_jing_44.3985_8.2769.json,custom
44.398450,8.276259,ov_ristorante_la_grotta_44.3985_8.2763,Ristorante La Grotta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/ristorante_la_grotta_44.3985_8.2763.json,custom
44.398466,8.275271,ov_italyan_style_cairo___parrucchiera_44.3985_8.2753,"Italyan STYLE,Cairo-  parrucchiera",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/italyan_stylecairo-_parrucchiera_44.3985_8.2753.json,custom
44.399122,8.274126,ov_pizzeria_al_bunker_44.3991_8.2741,Pizzeria Al Bunker,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/pizzeria_al_bunker_44.3991_8.2741.json,custom
44.398954,8.275625,ov_tincani_44.3990_8.2756,Tincani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/tincani_44.3990_8.2756.json,custom
44.398894,8.276301,ov_ristorante_alpi_44.3989_8.2763,Ristorante Alpi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/ristorante_alpi_44.3989_8.2763.json,custom
44.399257,8.275382,ov_moon_44.3993_8.2754,Moon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/moon_44.3993_8.2754.json,custom
44.399217,8.274972,ov_farinata_da_luciano_44.3992_8.2750,Farinata da Luciano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/farinata_da_luciano_44.3992_8.2750.json,custom
44.399624,8.272882,ov_pizza_piu_44.3996_8.2729,Pizza Piu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/pizza_piu_44.3996_8.2729.json,custom
44.399670,8.272850,ov_pizzeria_da___vegiu_44.3997_8.2729,Pizzeria da ü vegiu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/pizzeria_da_vegiu_44.3997_8.2729.json,custom
44.399970,8.274510,ov__________________________________________44.4000_8.2745,سيتي كريب فرع جسر السويس الجديدة -بالنهضه,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/_-_44.4000_8.2745.json,custom
44.400334,8.276790,ov_officina_del_gusto_44.4003_8.2768,Officina del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/officina_del_gusto_44.4003_8.2768.json,custom
44.400601,8.273297,ov_ravioli_del_nord_44.4006_8.2733,Ravioli del nord,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/ravioli_del_nord_44.4006_8.2733.json,custom
44.413851,8.275714,ov_il_ristoro_di_paolone_44.4139_8.2757,Il Ristoro di Paolone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/il_ristoro_di_paolone_44.4139_8.2757.json,custom
44.402561,8.277888,ov_da_michele_44.4026_8.2779,da Michele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/da_michele_44.4026_8.2779.json,custom
44.398289,8.277511,ov_ciro_pizza_44.3983_8.2775,Ciro Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/ciro_pizza_44.3983_8.2775.json,custom
44.397617,8.277297,ov_la_torre_44.3976_8.2773,La Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/la_torre_44.3976_8.2773.json,custom
44.396230,8.278274,ov_intermezzo_bistrot_44.3962_8.2783,Intermezzo bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/intermezzo_bistrot_44.3962_8.2783.json,custom
44.367732,8.290190,osm_pizzeria_ristorante_maruzziello_44.3677_8.2902,Pizzeria Ristorante Maruzziello,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/pizzeria_ristorante_maruzziello_44.3677_8.2902.json,custom
