# lat,lng,id,name,building_type,type,url,page_type
# impruneta -- restaurants
43.726333,11.220537,ov_pinna_rossa_43.7263_11.2205,Pinna Rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/impruneta/pages/pinna_rossa_43.7263_11.2205.json,custom
43.727115,11.235695,ov_fattoria_pozzolatico_43.7271_11.2357,Fattoria Pozzolatico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/impruneta/pages/fattoria_pozzolatico_43.7271_11.2357.json,custom
43.727764,11.247847,ov_azienda_agricola_lanciola_43.7278_11.2478,Azienda Agricola Lanciola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/impruneta/pages/azienda_agricola_lanciola_43.7278_11.2478.json,custom
43.734877,11.256153,ov_cascine_del_riccio_43.7349_11.2562,Cascine Del Riccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/impruneta/pages/cascine_del_riccio_43.7349_11.2562.json,custom
43.724561,11.244851,ov_l_oca_bonda_43.7246_11.2449,L'Oca Bonda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/impruneta/pages/loca_bonda_43.7246_11.2449.json,custom
43.723258,11.246103,ov_ristorante_i_tre_pini_firenze_43.7233_11.2461,Ristorante I Tre Pini Firenze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/impruneta/pages/ristorante_i_tre_pini_firenze_43.7233_11.2461.json,custom
43.722617,11.246065,ov_crc_pozzolatico_43.7226_11.2461,CRC Pozzolatico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/impruneta/pages/crc_pozzolatico_43.7226_11.2461.json,custom
43.726026,11.245790,ov_l_oriolo_fattoria_con_cucina_43.7260_11.2458,L’Oriolo Fattoria con Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/impruneta/pages/loriolo_fattoria_con_cucina_43.7260_11.2458.json,custom
43.725586,11.224822,ov_ristorante_la_bianchina_43.7256_11.2248,Ristorante la Bianchina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/impruneta/pages/ristorante_la_bianchina_43.7256_11.2248.json,custom
43.711235,11.272248,ov_bio___brado_43.7112_11.2722,Bio & Brado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/impruneta/pages/bio_brado_43.7112_11.2722.json,custom
43.782736,11.242268,ov_la_certosa_43.7827_11.2423,La Certosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/impruneta/pages/la_certosa_43.7827_11.2423.json,custom
43.712157,11.216917,osm_terzotempo_43.7122_11.2169,Terzotempo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/impruneta/pages/terzotempo_43.7122_11.2169.json,custom
43.681077,11.263430,osm_il_battibecco_43.6811_11.2634,Il Battibecco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/impruneta/pages/il_battibecco_43.6811_11.2634.json,custom
