# lat,lng,id,name,building_type,type,url,page_type
# botricello -- restaurants.csv
38.935837,16.858458,ov_yo_love_yogurteria_creperia_38.9358_16.8585,Yo Love Yogurteria Creperia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/yo_love_yogurteria_creperia_38.9358_16.8585.json,custom
38.937009,16.860061,ov_pensione_l_orizzonte_38.9370_16.8601,Pensione L'Orizzonte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/pensione_lorizzonte_38.9370_16.8601.json,custom
38.935925,16.859943,ov_ristorante_pizzeria_arcadia_38.9359_16.8599,Ristorante Pizzeria Arcadia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/ristorante_pizzeria_arcadia_38.9359_16.8599.json,custom
38.934734,16.856170,ov_gidari_38.9347_16.8562,Gidari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/gidari_38.9347_16.8562.json,custom
38.934621,16.855424,ov_l__angolo_del_kebab_38.9346_16.8554,L' Angolo del Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/l_angolo_del_kebab_38.9346_16.8554.json,custom
38.934538,16.852616,ov_ristor_art_38.9345_16.8526,Ristor'Art,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/ristorart_38.9345_16.8526.json,custom
38.935186,16.855543,ov_harmony_2_0_38.9352_16.8555,Harmony 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/harmony_20_38.9352_16.8555.json,custom
38.935100,16.856289,ov_pizzeria_contemporanea__tavola_calda__ro_38.9351_16.8563,"Pizzeria Contemporanea, Tavola Calda, Rosticceria,Pub",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/pizzeria_contemporanea_tavola_calda_rost_38.9351_16.8563.json,custom
38.932457,16.845411,ov_lo_spizzico_38.9325_16.8454,Lo Spizzico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/lo_spizzico_38.9325_16.8454.json,custom
38.919869,16.853113,ov_la_piovra_di_franco_foglia_38.9199_16.8531,La Piovra di Franco Foglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/la_piovra_di_franco_foglia_38.9199_16.8531.json,custom
38.922017,16.850804,ov_ristorante_pizzeria_maglio_38.9220_16.8508,Ristorante Pizzeria Maglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/ristorante_pizzeria_maglio_38.9220_16.8508.json,custom
38.930633,16.839263,ov_wanderlust_38.9306_16.8393,Wanderlust,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/botricello/pages/wanderlust_38.9306_16.8393.json,custom
