# lat,lng,id,name,building_type,type,url,page_type
# vittoria -- restaurants
36.892967,14.428040,ov_mercato_ittico_ristorante_36.8930_14.4280,Mercato Ittico Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/mercato_ittico_ristorante_36.8930_14.4280.json,custom
36.893250,14.427947,ov_viri_ku_c_e_36.8933_14.4279,Viri Ku C'e,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/viri_ku_ce_36.8933_14.4279.json,custom
36.893134,14.428446,ov_sicilia_food_36.8931_14.4284,Sicilia food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/sicilia_food_36.8931_14.4284.json,custom
36.890385,14.424928,ov_al_pontile_ristorante_bassi_fondenti_36.8904_14.4249,Al Pontile Ristorante Bassi Fondenti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/al_pontile_ristorante_bassi_fondenti_36.8904_14.4249.json,custom
36.890508,14.424602,ov_kaldo_club___restaurant___pizza_36.8905_14.4246,KALDO Club - Restaurant - Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/kaldo_club_-_restaurant_-_pizza_36.8905_14.4246.json,custom
36.890556,14.424847,ov_al_pontile_yacht_club__lounge_bar__appro_36.8906_14.4248,Al Pontile Yacht Club  Lounge Bar  Approdo Turistico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/al_pontile_yacht_club_lounge_bar_approdo_36.8906_14.4248.json,custom
36.891579,14.428641,ov_al_porto_36.8916_14.4286,Al Porto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/al_porto_36.8916_14.4286.json,custom
36.892160,14.428356,ov_vivere___la_pizza___un_idea_semplice_36.8922_14.4284,Vivere - La pizza è un'idea semplice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/vivere_-_la_pizza_unidea_semplice_36.8922_14.4284.json,custom
36.892272,14.429436,ov_scacco_matto_36.8923_14.4294,Scacco matto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/scacco_matto_36.8923_14.4294.json,custom
36.892386,14.429826,ov_ristorante_enogastronomico_sakalleo_36.8924_14.4298,Ristorante Enogastronomico Sakalleo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/ristorante_enogastronomico_sakalleo_36.8924_14.4298.json,custom
36.892094,14.429758,ov_pizza_in_piazza_da_fichera_36.8921_14.4298,Pizza in piazza da Fichera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/pizza_in_piazza_da_fichera_36.8921_14.4298.json,custom
36.891474,14.429245,ov_portosalvo_bistrot_36.8915_14.4292,Portosalvo Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/portosalvo_bistrot_36.8915_14.4292.json,custom
36.891468,14.429679,ov_re_cucco_36.8915_14.4297,Re Cucco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/re_cucco_36.8915_14.4297.json,custom
36.891612,14.430112,ov_pizzeria_al_paradise_36.8916_14.4301,Pizzeria Al Paradise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/pizzeria_al_paradise_36.8916_14.4301.json,custom
36.891322,14.429697,ov_ristorante_pizzeria_fichera_36.8913_14.4297,Ristorante Pizzeria Fichera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/ristorante_pizzeria_fichera_36.8913_14.4297.json,custom
36.891264,14.429858,ov_stuzzico_creperia_panineria_36.8913_14.4299,Stuzzico Creperia Panineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/stuzzico_creperia_panineria_36.8913_14.4299.json,custom
36.890860,14.429780,ov_i_varcuzzi_36.8909_14.4298,I Varcuzzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/i_varcuzzi_36.8909_14.4298.json,custom
36.890839,14.429238,ov_american_delight_36.8908_14.4292,American Delight,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/american_delight_36.8908_14.4292.json,custom
36.891276,14.429550,ov_fichera_giovanni_36.8913_14.4296,Fichera Giovanni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/fichera_giovanni_36.8913_14.4296.json,custom
36.891378,14.429476,ov_l_uortu_do_re_cuccu_36.8914_14.4295,L'Uortu do Re Cuccu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/luortu_do_re_cuccu_36.8914_14.4295.json,custom
36.890687,14.429621,ov_med__36.8907_14.4296,Medì,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/med_36.8907_14.4296.json,custom
36.896824,14.425995,ov_mamar__scoglitti_36.8968_14.4260,Mamaró_scoglitti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/mamarscoglitti_36.8968_14.4260.json,custom
36.897602,14.425578,ov_barracuda_36.8976_14.4256,Barracuda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/barracuda_36.8976_14.4256.json,custom
36.898528,14.425290,ov_bar_ristoro_ss115_36.8985_14.4253,Bar Ristoro ss115,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/bar_ristoro_ss115_36.8985_14.4253.json,custom
36.902250,14.425130,ov_pizza_delight_scoglitti_36.9023_14.4251,Pizza Delight scoglitti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/pizza_delight_scoglitti_36.9023_14.4251.json,custom
36.901750,14.424056,ov_pizzeria_art_pizza_36.9018_14.4241,Pizzeria ART PIZZA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/pizzeria_art_pizza_36.9018_14.4241.json,custom
36.910511,14.425867,ov_despacito_trattoria_pizzeria_bar_36.9105_14.4259,Despacito Trattoria Pizzeria Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/despacito_trattoria_pizzeria_bar_36.9105_14.4259.json,custom
36.916721,14.412885,ov_la_vela_bar__pizzeria_baia_dorica_36.9167_14.4129,La Vela Bar- Pizzeria Baia Dorica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/la_vela_bar-_pizzeria_baia_dorica_36.9167_14.4129.json,custom
36.938241,14.520645,ov_self_eni_di_russo_36.9382_14.5206,Self Eni di RUSSO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/self_eni_di_russo_36.9382_14.5206.json,custom
36.940357,14.526983,ov_extrema_pizzeria_36.9404_14.5270,Extrema Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/extrema_pizzeria_36.9404_14.5270.json,custom
36.933844,14.690349,ov_la_fenice_36.9338_14.6903,La Fenice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/la_fenice_36.9338_14.6903.json,custom
36.933732,14.690512,ov_mu_steakhouse_36.9337_14.6905,Mu Steakhouse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/mu_steakhouse_36.9337_14.6905.json,custom
36.816208,14.952914,ov_camere_a_sud___ristorante_terminal_36.8162_14.9529,Camere a Sud & Ristorante Terminal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/camere_a_sud_ristorante_terminal_36.8162_14.9529.json,custom
36.985215,14.357041,ov_toda_joia_36.9852_14.3570,Toda Joia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/toda_joia_36.9852_14.3570.json,custom
36.973725,14.505449,ov_ristorante_ai_tre_laghetti_36.9737_14.5054,Ristorante Ai Tre Laghetti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/ristorante_ai_tre_laghetti_36.9737_14.5054.json,custom
36.961420,14.512390,ov_il_picchio_verde_36.9614_14.5124,Il Picchio Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/il_picchio_verde_36.9614_14.5124.json,custom
36.960802,14.516551,ov_mcdonald_s_36.9608_14.5166,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/mcdonalds_36.9608_14.5166.json,custom
36.961460,14.500215,ov_ristorante_picchio_verde_36.9615_14.5002,Ristorante Picchio Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/ristorante_picchio_verde_36.9615_14.5002.json,custom
36.945697,14.495345,ov_il_ciliegino_tornabuoni_36.9457_14.4953,Il Ciliegino Tornabuoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/il_ciliegino_tornabuoni_36.9457_14.4953.json,custom
36.953659,14.499150,ov_il_ciliegino_36.9537_14.4992,Il Ciliegino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/il_ciliegino_36.9537_14.4992.json,custom
36.947647,14.513126,ov_real_forno_vittoria_36.9476_14.5131,Real Forno Vittoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/real_forno_vittoria_36.9476_14.5131.json,custom
36.945960,14.501930,ov_gm_ortaggi_srl_36.9460_14.5019,Gm Ortaggi Srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/gm_ortaggi_srl_36.9460_14.5019.json,custom
36.946113,14.502970,ov_trattoria_al_mercato_36.9461_14.5030,Trattoria Al Mercato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/trattoria_al_mercato_36.9461_14.5030.json,custom
36.945369,14.520484,ov_rotante_36.9454_14.5205,Rotante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/rotante_36.9454_14.5205.json,custom
36.949079,14.519555,ov_angelo_azzurro_panineria_cr_pes_36.9491_14.5196,Angelo Azzurro PANINERIA CRÊPES,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/angelo_azzurro_panineria_crpes_36.9491_14.5196.json,custom
36.948002,14.519837,ov_nonna_cettina_agriturismo_36.9480_14.5198,Nonna Cettina_agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/nonna_cettinaagriturismo_36.9480_14.5198.json,custom
36.946245,14.525850,ov_pizzeria_settebello_36.9462_14.5259,Pizzeria Settebello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/pizzeria_settebello_36.9462_14.5259.json,custom
36.945168,14.526525,ov_pizzeria_tot__pizza_36.9452_14.5265,Pizzeria Totò Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/pizzeria_tot_pizza_36.9452_14.5265.json,custom
36.945787,14.527067,ov_pizzeria_d_asporto_dica_duca_36.9458_14.5271,Pizzeria D'Asporto Dica Duca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/pizzeria_dasporto_dica_duca_36.9458_14.5271.json,custom
36.945830,14.527080,ov_tiziana_pagina_personale_36.9458_14.5271,Tiziana Pagina Personale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/tiziana_pagina_personale_36.9458_14.5271.json,custom
36.945088,14.530607,ov_sushi_royal_vittoria_36.9451_14.5306,Sushi Royal Vittoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/sushi_royal_vittoria_36.9451_14.5306.json,custom
36.948110,14.529169,ov_crusca_extra_ordinary_pizza_36.9481_14.5292,Crusca Extra Ordinary Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/crusca_extra_ordinary_pizza_36.9481_14.5292.json,custom
36.949122,14.535555,ov_eden_giardino_sociale_36.9491_14.5356,EDEN Giardino Sociale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/eden_giardino_sociale_36.9491_14.5356.json,custom
36.949010,14.535680,ov_take_away_da_saverio_e_viviana_36.9490_14.5357,Take Away da Saverio e Viviana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/take_away_da_saverio_e_viviana_36.9490_14.5357.json,custom
36.948113,14.535831,ov_pizzeria_fermento_36.9481_14.5358,Pizzeria Fermento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/pizzeria_fermento_36.9481_14.5358.json,custom
36.947602,14.535365,ov_zagara_vittoria_36.9476_14.5354,Zagara Vittoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/zagara_vittoria_36.9476_14.5354.json,custom
36.947966,14.535003,ov_pizzeria_voglia_di_pizza_da_paolo_36.9480_14.5350,Pizzeria Voglia di Pizza da Paolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/pizzeria_voglia_di_pizza_da_paolo_36.9480_14.5350.json,custom
36.947317,14.534285,ov_gir__36.9473_14.5343,Giró,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/gir_36.9473_14.5343.json,custom
36.946858,14.535073,ov_san_francesco_36.9469_14.5351,San Francesco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/san_francesco_36.9469_14.5351.json,custom
36.946612,14.535530,ov_cala_rittu_36.9466_14.5355,Cala Rittu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/cala_rittu_36.9466_14.5355.json,custom
36.945081,14.531916,ov_strafame_36.9451_14.5319,Strafame,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/strafame_36.9451_14.5319.json,custom
36.945607,14.533606,ov_gust__36.9456_14.5336,Gustò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/gust_36.9456_14.5336.json,custom
36.944770,14.527700,ov_buffet_di_carne_36.9448_14.5277,Buffet Di Carne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/buffet_di_carne_36.9448_14.5277.json,custom
36.942424,14.526507,ov_o_sciality___pizza_quality_36.9424_14.5265,O'Sciality - Pizza Quality,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/osciality_-_pizza_quality_36.9424_14.5265.json,custom
36.940537,14.527953,ov_happy_days_panineria_36.9405_14.5280,Happy Days Panineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/happy_days_panineria_36.9405_14.5280.json,custom
36.946843,14.537911,ov_al_bacio_36.9468_14.5379,Al Bacio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/al_bacio_36.9468_14.5379.json,custom
36.947974,14.540252,ov_pizzeria_da_ciccio_36.9480_14.5403,Pizzeria da Ciccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/pizzeria_da_ciccio_36.9480_14.5403.json,custom
36.948623,14.539531,ov_la_cantina_36.9486_14.5395,La Cantina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/la_cantina_36.9486_14.5395.json,custom
36.948459,14.539348,ov_la_crepepperia_36.9485_14.5393,La Crepepperia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/la_crepepperia_36.9485_14.5393.json,custom
36.948824,14.539708,ov_bassi_fondenti_36.9488_14.5397,Bassi Fondenti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/bassi_fondenti_36.9488_14.5397.json,custom
36.949095,14.539294,ov_convivium_ristorante_pizzeria_36.9491_14.5393,Convivium ristorante pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/convivium_ristorante_pizzeria_36.9491_14.5393.json,custom
36.949150,14.539040,ov_terramatta_group_36.9492_14.5390,Terramatta Group,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/terramatta_group_36.9492_14.5390.json,custom
36.949099,14.539121,ov_pizza___co__36.9491_14.5391,Pizza & Co.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/pizza_co_36.9491_14.5391.json,custom
36.949031,14.539284,ov_l_oste_nero_36.9490_14.5393,L'Oste Nero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/loste_nero_36.9490_14.5393.json,custom
36.949008,14.536045,ov_pizza_bon_quality_36.9490_14.5360,Pizza Bon Quality,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/pizza_bon_quality_36.9490_14.5360.json,custom
36.949163,14.536079,ov_officina_181_36.9492_14.5361,Officina 181,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/officina_181_36.9492_14.5361.json,custom
36.949799,14.537602,ov_ma_chi_c___panineria_creperia_36.9498_14.5376,Ma chi c'é panineria creperia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/ma_chi_c_panineria_creperia_36.9498_14.5376.json,custom
36.949838,14.537703,ov_le_braci_36.9498_14.5377,Le Braci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/le_braci_36.9498_14.5377.json,custom
36.949988,14.537745,ov_don_gastroteca_36.9500_14.5377,DON Gastroteca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/don_gastroteca_36.9500_14.5377.json,custom
36.950044,14.537662,ov_la_belle_epoque_36.9500_14.5377,La Belle Epoque,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/la_belle_epoque_36.9500_14.5377.json,custom
36.949812,14.537945,ov_rigatoni_36.9498_14.5379,Rigatoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/rigatoni_36.9498_14.5379.json,custom
36.949755,14.537965,ov_galleria_bside_pizza___steakhouse_36.9498_14.5380,GALLERIA BSIDE pizza & steakhouse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/galleria_bside_pizza_steakhouse_36.9498_14.5380.json,custom
36.949665,14.537393,ov_la_gorda_vini_e_cucina_36.9497_14.5374,La Gorda Vini e Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/la_gorda_vini_e_cucina_36.9497_14.5374.json,custom
36.949436,14.538462,ov_pizzeria_del_corso_36.9494_14.5385,Pizzeria Del Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/pizzeria_del_corso_36.9494_14.5385.json,custom
36.950571,14.537246,ov_acqua_e_vino_36.9506_14.5372,Acqua e Vino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/acqua_e_vino_36.9506_14.5372.json,custom
36.950408,14.536884,ov_barbque_36.9504_14.5369,Barbque,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/barbque_36.9504_14.5369.json,custom
36.953166,14.543181,ov_queen_mary_36.9532_14.5432,Queen Mary,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/queen_mary_36.9532_14.5432.json,custom
