# lat,lng,id,name,building_type,type,url,page_type
# sansepolcro -- restaurants
43.569917,12.141434,ov_il_vecchio_e_il_mare_43.5699_12.1414,Il Vecchio e Il Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/il_vecchio_e_il_mare_43.5699_12.1414.json,custom
43.570267,12.142121,ov_pizzeria_bar_da_toto_43.5703_12.1421,Pizzeria Bar Da Toto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/pizzeria_bar_da_toto_43.5703_12.1421.json,custom
43.569677,12.143707,ov_king_taqas_kebab_43.5697_12.1437,King Taqas Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/king_taqas_kebab_43.5697_12.1437.json,custom
43.568706,12.149655,ov_hotel_la_balestra_43.5687_12.1497,Hotel La Balestra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/hotel_la_balestra_43.5687_12.1497.json,custom
43.567860,12.148790,ov_albergo_ristorante_taverna_43.5679_12.1488,Albergo Ristorante Taverna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/albergo_ristorante_taverna_43.5679_12.1488.json,custom
43.566825,12.120784,ov_menchetti_dal_1948_43.5668_12.1208,Menchetti dal 1948,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/menchetti_dal_1948_43.5668_12.1208.json,custom
43.563640,12.119972,ov_bamb__ristorante_43.5636_12.1200,Bambù Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/bamb_ristorante_43.5636_12.1200.json,custom
43.560946,12.114884,ov_mcdonald_s_43.5609_12.1149,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/mcdonalds_43.5609_12.1149.json,custom
43.560756,12.107148,ov_ristorante_pizzeria_ma_mi_43.5608_12.1071,Ristorante Pizzeria Ma.Mi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/ristorante_pizzeria_mami_43.5608_12.1071.json,custom
43.559172,12.111385,ov_il_barrino_43.5592_12.1114,Il Barrino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/il_barrino_43.5592_12.1114.json,custom
43.560161,12.115614,ov_igloo_american_restaurant_43.5602_12.1156,IGLOO American Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/igloo_american_restaurant_43.5602_12.1156.json,custom
43.558405,12.119796,ov_buitoni_newlat_43.5584_12.1198,Buitoni Newlat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/buitoni_newlat_43.5584_12.1198.json,custom
43.554951,12.122669,ov_podere_violino_43.5550_12.1227,Podere Violino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/podere_violino_43.5550_12.1227.json,custom
43.579982,12.096628,ov_bottega_di_gragnano_43.5800_12.0966,Bottega di Gragnano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/bottega_di_gragnano_43.5800_12.0966.json,custom
43.583360,12.120490,ov_ristorante_da_leo_43.5834_12.1205,Ristorante Da Leo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/ristorante_da_leo_43.5834_12.1205.json,custom
43.584823,12.118094,ov_ristorante_lincanto_43.5848_12.1181,Ristorante Lincanto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/ristorante_lincanto_43.5848_12.1181.json,custom
43.626537,12.118978,ov_l_osteria_in_aboca_43.6265_12.1190,L'Osteria in Aboca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/losteria_in_aboca_43.6265_12.1190.json,custom
43.611890,12.179220,ov_ristoro_calisti___la_montagna_43.6119_12.1792,Ristoro Calisti _ La Montagna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/ristoro_calisti_la_montagna_43.6119_12.1792.json,custom
43.571527,12.139800,osm_ristorante_fiorentino_43.5715_12.1398,Ristorante Fiorentino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/ristorante_fiorentino_43.5715_12.1398.json,custom
43.572763,12.137050,osm_da_beppino_43.5728_12.1371,Da Beppino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/da_beppino_43.5728_12.1371.json,custom
43.571906,12.139594,osm_caff__degli_appennini_43.5719_12.1396,Caffé degli Appennini,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/caff_degli_appennini_43.5719_12.1396.json,custom
43.572327,12.138713,osm_berghi_43.5723_12.1387,Berghi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/berghi_43.5723_12.1387.json,custom
43.572491,12.139479,osm_da_ventura_ristorante_locanda_43.5725_12.1395,Da Ventura ristorante locanda,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/da_ventura_ristorante_locanda_43.5725_12.1395.json,custom
43.579369,12.129256,osm_oroscopo_43.5794_12.1293,Oroscopo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/oroscopo_43.5794_12.1293.json,custom
43.569786,12.146312,osm_0575_tankard_43.5698_12.1463,0575 Tankard,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/0575_tankard_43.5698_12.1463.json,custom
43.573304,12.136026,osm_pizzeria_el_tornado_43.5733_12.1360,Pizzeria El Tornado,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/pizzeria_el_tornado_43.5733_12.1360.json,custom
43.560154,12.115471,osm_grig_burger_43.5602_12.1155,Grig Burger,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/grig_burger_43.5602_12.1155.json,custom
43.572424,12.138601,osm_contesto_43.5724_12.1386,Contesto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/contesto_43.5724_12.1386.json,custom
43.570798,12.142546,osm_mad__43.5708_12.1425,Madù,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/mad_43.5708_12.1425.json,custom
43.565593,12.131643,osm_i_mengrigi_pizzeria_e_dopocena_43.5656_12.1316,I MenGrigi pizzeria e dopocena,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/i_mengrigi_pizzeria_e_dopocena_43.5656_12.1316.json,custom
43.571393,12.139692,osm_taverna_toscana_43.5714_12.1397,Taverna Toscana,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/taverna_toscana_43.5714_12.1397.json,custom
43.567114,12.145480,osm_ristorante_pizzeria_le_piscine_43.5671_12.1455,Ristorante Pizzeria Le Piscine,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/ristorante_pizzeria_le_piscine_43.5671_12.1455.json,custom
43.570278,12.144014,osm_al_coccio_43.5703_12.1440,Al Coccio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sansepolcro/pages/al_coccio_43.5703_12.1440.json,custom
