# lat,lng,id,name,building_type,type,url,page_type
# valsamoggia -- gyms
44.484274,11.128208,ov_circolo_ippico_l_ecurie_44.4843_11.1282,Circolo Ippico L'Ecurie,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/valsamoggia/pages/circolo_ippico_lecurie_44.4843_11.1282.json,custom
44.503401,11.084856,ov_orizzonti_asd_44.5034_11.0849,Orizzonti asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/valsamoggia/pages/orizzonti_asd_44.5034_11.0849.json,custom
44.506158,11.072111,ov_crossfit_569_44.5062_11.0721,CrossFit 569,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/valsamoggia/pages/crossfit_569_44.5062_11.0721.json,custom
44.506600,11.082710,ov_spazio_emerso_44.5066_11.0827,Spazio Emerso,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/valsamoggia/pages/spazio_emerso_44.5066_11.0827.json,custom
44.506116,11.092105,ov_only_swing_dance_44.5061_11.0921,Only Swing Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/valsamoggia/pages/only_swing_dance_44.5061_11.0921.json,custom
44.506255,11.096348,ov_bodyminds_44.5063_11.0963,Bodyminds,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/valsamoggia/pages/bodyminds_44.5063_11.0963.json,custom
44.503062,11.089677,ov_palace_peppino_impastato_44.5031_11.0897,Palace Peppino Impastato,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/valsamoggia/pages/palace_peppino_impastato_44.5031_11.0897.json,custom
44.500606,11.087817,ov_palestra_scuole_medie_44.5006_11.0878,Palestra scuole medie,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/valsamoggia/pages/palestra_scuole_medie_44.5006_11.0878.json,custom
44.500413,11.085474,ov_poligono_di_tiro_bazzano_44.5004_11.0855,Poligono di tiro Bazzano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/valsamoggia/pages/poligono_di_tiro_bazzano_44.5004_11.0855.json,custom
44.524310,11.110550,ov_casasole_aziendagricola_44.5243_11.1105,CasaSole aziendagricola,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/valsamoggia/pages/casasole_aziendagricola_44.5243_11.1105.json,custom
44.549008,11.130432,ov_quelli_di_calcara_44.5490_11.1304,Quelli di Calcara,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/valsamoggia/pages/quelli_di_calcara_44.5490_11.1304.json,custom
44.516978,11.169553,ov_motor_park_44.5170_11.1696,Motor Park,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/valsamoggia/pages/motor_park_44.5170_11.1696.json,custom
44.510728,11.143122,ov_curves_valsamoggia_44.5107_11.1431,Curves Valsamoggia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/valsamoggia/pages/curves_valsamoggia_44.5107_11.1431.json,custom
44.512664,11.126794,ov_new_atleticenter_fitness_club_44.5127_11.1268,New Atleticenter Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/valsamoggia/pages/new_atleticenter_fitness_club_44.5127_11.1268.json,custom
44.512480,11.128160,ov_un_passo_alla_volta___valsamoggia_44.5125_11.1282,Un Passo alla Volta - Valsamoggia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/valsamoggia/pages/un_passo_alla_volta_-_valsamoggia_44.5125_11.1282.json,custom
