# lat,lng,id,name,building_type,type,url,page_type
# beinasco -- restaurants.csv
45.007084,7.599288,ov_il_camaleonte_45.0071_7.5993,Il Camaleonte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/il_camaleonte_45.0071_7.5993.json,custom
45.007103,7.599304,ov_ci_voleva_45.0071_7.5993,Ci Voleva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/ci_voleva_45.0071_7.5993.json,custom
45.007241,7.594428,ov_pappamondo_45.0072_7.5944,Pappamondo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/pappamondo_45.0072_7.5944.json,custom
45.004684,7.598658,ov_osteria_del_borgo_borgaretto_45.0047_7.5987,Osteria Del Borgo Borgaretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/osteria_del_borgo_borgaretto_45.0047_7.5987.json,custom
45.004387,7.601933,ov_la_socio_trattoria_45.0044_7.6019,La Socio trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/la_socio_trattoria_45.0044_7.6019.json,custom
45.004378,7.603341,ov_pizza___sapori_45.0044_7.6033,Pizza & sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/pizza_sapori_45.0044_7.6033.json,custom
45.004419,7.603462,ov_pizza_italy_borgaretto_45.0044_7.6035,Pizza Italy Borgaretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/pizza_italy_borgaretto_45.0044_7.6035.json,custom
45.002237,7.601768,ov_circolo_dapierin_45.0022_7.6018,Circolo Dapierin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/circolo_dapierin_45.0022_7.6018.json,custom
45.002324,7.602141,ov_cico_45.0023_7.6021,Cico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/cico_45.0023_7.6021.json,custom
44.998899,7.597668,ov_trattoria_la_bocciofila__borgaretto_di_b_44.9989_7.5977,"Trattoria La Bocciofila, Borgaretto Di Beinasco",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/trattoria_la_bocciofila_borgaretto_di_be_44.9989_7.5977.json,custom
45.028638,7.596973,osm_da_frasi_45.0286_7.5970,Da Frasi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/da_frasi_45.0286_7.5970.json,custom
45.026562,7.596108,osm_i_sapori_45.0266_7.5961,I Sapori,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/i_sapori_45.0266_7.5961.json,custom
45.026964,7.595077,osm_old_wild_west_45.0270_7.5951,Old Wild West,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/old_wild_west_45.0270_7.5951.json,custom
