# lat,lng,id,name,building_type,type,url,page_type
# licata -- restaurants
37.105632,13.942841,ov_ristorante_pizzeria_marianello_37.1056_13.9428,Ristorante Pizzeria Marianello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/ristorante_pizzeria_marianello_37.1056_13.9428.json,custom
37.106283,13.948303,ov_il_granaio___ristorante_pizzeria_37.1063_13.9483,Il Granaio - Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/il_granaio_-_ristorante_pizzeria_37.1063_13.9483.json,custom
37.106592,13.948487,ov_pizzeria_la_fornarina_37.1066_13.9485,Pizzeria La Fornarina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzeria_la_fornarina_37.1066_13.9485.json,custom
37.106764,13.948815,ov_ristorante_pizzeria_l_opera_37.1068_13.9488,Ristorante Pizzeria L'Opera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/ristorante_pizzeria_lopera_37.1068_13.9488.json,custom
37.106388,13.946394,ov_pizza_food_37.1064_13.9464,Pizza&Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzafood_37.1064_13.9464.json,custom
37.106710,13.934710,ov_pizzeria_la_deliziosa_37.1067_13.9347,Pizzeria La deliziosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzeria_la_deliziosa_37.1067_13.9347.json,custom
37.106814,13.933547,ov_pasticceria_russello_37.1068_13.9335,Pasticceria Russello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pasticceria_russello_37.1068_13.9335.json,custom
37.105720,13.934510,ov_pizzeria_doppio_zero_di_incorvaia___farr_37.1057_13.9345,Pizzeria Doppio Zero di Incorvaia & Farruggio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzeria_doppio_zero_di_incorvaia_farrug_37.1057_13.9345.json,custom
37.105438,13.934904,ov_ristorante_la_madia_37.1054_13.9349,Ristorante la Madia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/ristorante_la_madia_37.1054_13.9349.json,custom
37.105977,13.934327,ov_uovo_di_seppia_37.1060_13.9343,Uovo di Seppia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/uovo_di_seppia_37.1060_13.9343.json,custom
37.107080,13.930660,ov_n_zemmula_osteria_siciliana_gaffe___ritr_37.1071_13.9307,N'Zemmula Osteria Siciliana Gaffe & Ritrovino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/nzemmula_osteria_siciliana_gaffe_ritrovi_37.1071_13.9307.json,custom
37.104685,13.927592,ov_la_bottega_ristorante_37.1047_13.9276,La Bottega Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/la_bottega_ristorante_37.1047_13.9276.json,custom
37.104706,13.938918,ov_premiata_pizzeria_sardasalata_37.1047_13.9389,Premiata Pizzeria Sardasalata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/premiata_pizzeria_sardasalata_37.1047_13.9389.json,custom
37.103088,13.936858,ov_la_capannina_37.1031_13.9369,La Capannina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/la_capannina_37.1031_13.9369.json,custom
37.102905,13.938437,ov_trattoria_donna_rosa_37.1029_13.9384,Trattoria Donna Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/trattoria_donna_rosa_37.1029_13.9384.json,custom
37.102288,13.937410,ov_pizzeria_nu_marasciallu_37.1023_13.9374,Pizzeria nu marasciallu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzeria_nu_marasciallu_37.1023_13.9374.json,custom
37.102316,13.938043,ov_pizzeria_hollywood_37.1023_13.9380,Pizzeria Hollywood,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzeria_hollywood_37.1023_13.9380.json,custom
37.102139,13.938720,ov_cur__caf__bistr__37.1021_13.9387,Curò Cafè Bistró,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/cur_caf_bistr_37.1021_13.9387.json,custom
37.102042,13.938873,ov_curo_trattoria_palermitana_37.1020_13.9389,Curo Trattoria Palermitana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/curo_trattoria_palermitana_37.1020_13.9389.json,custom
37.101859,13.938060,ov_pizzeria_del_centro_37.1019_13.9381,Pizzeria del Centro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzeria_del_centro_37.1019_13.9381.json,custom
37.099944,13.938709,ov_la_taverna_del_duca_37.0999_13.9387,La Taverna del Duca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/la_taverna_del_duca_37.0999_13.9387.json,custom
37.099793,13.938671,ov_l_oste_e_il_sacrestano_37.0998_13.9387,L'Oste E Il Sacrestano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/loste_e_il_sacrestano_37.0998_13.9387.json,custom
37.098052,13.938748,ov_passami_u_coppu_licata_37.0981_13.9387,Passami u Coppu Licata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/passami_u_coppu_licata_37.0981_13.9387.json,custom
37.097973,13.938935,ov_ristorante_al_granchio_blu_37.0980_13.9389,Ristorante al Granchio Blu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/ristorante_al_granchio_blu_37.0980_13.9389.json,custom
37.097847,13.937458,ov_molo28_37.0978_13.9375,Molo28,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/molo28_37.0978_13.9375.json,custom
37.097923,13.938009,ov_l_arte_della_pizza_37.0979_13.9380,L'Arte della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/larte_della_pizza_37.0979_13.9380.json,custom
37.102544,13.884461,ov_new_molly_club_37.1025_13.8845,New Molly Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/new_molly_club_37.1025_13.8845.json,custom
37.103308,13.878567,ov_cucina_lido_faraci_mollarella_37.1033_13.8786,Cucina Lido Faraci Mollarella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/cucina_lido_faraci_mollarella_37.1033_13.8786.json,custom
37.095868,14.171652,ov_bar_pisano_service_37.0959_14.1717,Bar Pisano Service,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/bar_pisano_service_37.0959_14.1717.json,custom
37.112180,13.928076,osm_pizzaria_la_lucciola_e_la_luna_37.1122_13.9281,Pizzaria la Lucciola e la luna,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzaria_la_lucciola_e_la_luna_37.1122_13.9281.json,custom
37.097879,13.939229,osm_restaurante_de_gustibus_37.0979_13.9392,Restaurante de Gustibus,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/restaurante_de_gustibus_37.0979_13.9392.json,custom
37.097957,13.940658,osm_senza_funnu_37.0980_13.9407,Senza Funnu,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/senza_funnu_37.0980_13.9407.json,custom
37.099006,13.940011,osm_pizzaria_il_molino_37.0990_13.9400,Pizzaria Il Molino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzaria_il_molino_37.0990_13.9400.json,custom
37.101771,13.938099,osm_pizzeria_del_centro_di_vitali_giuseppe_37.1018_13.9381,Pizzeria del Centro di Vitali Giuseppe,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/licata/pages/pizzeria_del_centro_di_vitali_giuseppe_37.1018_13.9381.json,custom
