# lat,lng,id,name,building_type,type,url,page_type
# foiano_della_chiana -- restaurants
43.227800,11.798023,ov_pici___co__43.2278_11.7980,Pici & Co.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/pici_co_43.2278_11.7980.json,custom
43.225940,11.803470,ov_la_chianina_43.2259_11.8035,La Chianina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/la_chianina_43.2259_11.8035.json,custom
43.225907,11.801154,ov_doppio_gusto_43.2259_11.8012,Doppio Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/doppio_gusto_43.2259_11.8012.json,custom
43.225916,11.801157,ov_old_wild_west___valdichiana_outlet_villa_43.2259_11.8012,Old Wild West - Valdichiana Outlet Village,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/old_wild_west_-_valdichiana_outlet_villa_43.2259_11.8012.json,custom
43.231840,11.808223,ov_old_wild_west_43.2318_11.8082,Old Wild West,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/old_wild_west_43.2318_11.8082.json,custom
43.230160,11.797949,ov_ristorante_mandarin_wok_43.2302_11.7979,Ristorante Mandarin Wok,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/ristorante_mandarin_wok_43.2302_11.7979.json,custom
43.230696,11.796990,ov_autogrill_43.2307_11.7970,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/autogrill_43.2307_11.7970.json,custom
43.242021,11.803793,ov_agriturismo_ristorante_artisti_del_caval_43.2420_11.8038,Agriturismo Ristorante Artisti del Cavallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/agriturismo_ristorante_artisti_del_caval_43.2420_11.8038.json,custom
43.241530,11.824686,ov_le_grotti___bar__trattoria_alimentari_da_43.2415_11.8247,"Le Grotti - Bar, Trattoria Alimentari dal 1998",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/le_grotti_-_bar_trattoria_alimentari_dal_43.2415_11.8247.json,custom
43.242437,11.823444,ov_ristorante_il_laghetto_43.2424_11.8234,Ristorante Il Laghetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/ristorante_il_laghetto_43.2424_11.8234.json,custom
43.236410,11.815540,ov_il_rifugio_di_bucche_43.2364_11.8155,Il Rifugio di bucche,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/il_rifugio_di_bucche_43.2364_11.8155.json,custom
43.294251,11.803115,ov_emporio_di_ines_43.2943_11.8031,Emporio di Ines,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/emporio_di_ines_43.2943_11.8031.json,custom
43.293680,11.801030,ov_passioni_pane_e_pizza_43.2937_11.8010,Passioni pane e pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/passioni_pane_e_pizza_43.2937_11.8010.json,custom
43.291162,11.798924,ov_osteria_il_tempio_43.2912_11.7989,Osteria Il Tempio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/osteria_il_tempio_43.2912_11.7989.json,custom
43.290003,11.825900,ov_inspace_italian_design_43.2900_11.8259,Inspace Italian Design,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/inspace_italian_design_43.2900_11.8259.json,custom
43.252785,11.818441,ov_ristorante_pachino_43.2528_11.8184,ristorante Pachino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/ristorante_pachino_43.2528_11.8184.json,custom
43.252694,11.817440,ov_ristorante_fattoria_pulcino_43.2527_11.8174,Ristorante Fattoria Pulcino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/ristorante_fattoria_pulcino_43.2527_11.8174.json,custom
43.251990,11.819075,ov_casa_mengrello_43.2520_11.8191,Casa Mengrello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/casa_mengrello_43.2520_11.8191.json,custom
43.251478,11.816502,ov_qui_si_pizza_43.2515_11.8165,Qui Si Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/qui_si_pizza_43.2515_11.8165.json,custom
43.250917,11.817831,ov_ristorante_il_vizio_43.2509_11.8178,Ristorante Il Vizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/ristorante_il_vizio_43.2509_11.8178.json,custom
43.250709,11.817727,ov_osteria_del_piazzone_43.2507_11.8177,Osteria del Piazzone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/osteria_del_piazzone_43.2507_11.8177.json,custom
43.250574,11.816959,ov_mengrello_43.2506_11.8170,Mengrello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/mengrello_43.2506_11.8170.json,custom
43.249793,11.818078,ov_osteria_pulcino_nero_43.2498_11.8181,Osteria Pulcino nero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/osteria_pulcino_nero_43.2498_11.8181.json,custom
43.249960,11.817226,ov_acqua___sapone_43.2500_11.8172,Acqua & Sapone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/acqua_sapone_43.2500_11.8172.json,custom
43.245670,11.820230,ov_martyhomerestaurant_43.2457_11.8202,Martyhomerestaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/martyhomerestaurant_43.2457_11.8202.json,custom
43.253016,11.818400,ov_pizzeria_happy_days_43.2530_11.8184,Pizzeria Happy Days,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/pizzeria_happy_days_43.2530_11.8184.json,custom
43.253594,11.816905,ov_rosticceria_pizzeria_mameli_43.2536_11.8169,Rosticceria Pizzeria Mameli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/rosticceria_pizzeria_mameli_43.2536_11.8169.json,custom
43.253858,11.816014,ov_pizzeria_del_borgo_43.2539_11.8160,Pizzeria del Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/pizzeria_del_borgo_43.2539_11.8160.json,custom
43.253868,11.816080,ov_l_antica_dimora_43.2539_11.8161,L'Antica Dimora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/lantica_dimora_43.2539_11.8161.json,custom
43.253961,11.816546,ov_mcdonald_s_43.2540_11.8165,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/mcdonalds_43.2540_11.8165.json,custom
43.268157,11.803344,ov_la_lodola_43.2682_11.8033,La Lodola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/la_lodola_43.2682_11.8033.json,custom
43.271832,11.823868,ov_braceria_spizzichi_e_bocconi_43.2718_11.8239,Braceria Spizzichi e Bocconi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/braceria_spizzichi_e_bocconi_43.2718_11.8239.json,custom
43.272877,11.790163,ov_agriturismo_cisternella_43.2729_11.7902,Agriturismo Cisternella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/agriturismo_cisternella_43.2729_11.7902.json,custom
43.245540,11.746185,ov_stay_manzo_43.2455_11.7462,Stay Manzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/stay_manzo_43.2455_11.7462.json,custom
