# lat,lng,id,name,building_type,type,url,page_type
# lipari -- restaurants
38.414299,14.960090,ov_harya_vulcano_38.4143_14.9601,Harya Vulcano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/harya_vulcano_38.4143_14.9601.json,custom
38.413154,14.960556,ov_ristorante_the_king_of_fish_38.4132_14.9606,Ristorante The King of Fish,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ristorante_the_king_of_fish_38.4132_14.9606.json,custom
38.484422,14.965424,ov_la_casa_del_gusto_home_restaurant_38.4844_14.9654,La Casa Del Gusto Home Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/la_casa_del_gusto_home_restaurant_38.4844_14.9654.json,custom
38.484676,14.965292,ov_da_merlo_38.4847_14.9653,Da Merlo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/da_merlo_38.4847_14.9653.json,custom
38.485907,14.967675,ov_pescheria_ristorante_irene_lazare_38.4859_14.9677,Pescheria Ristorante Irene Lazare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/pescheria_ristorante_irene_lazare_38.4859_14.9677.json,custom
38.490686,14.962030,ov_ritrovo_calandra_38.4907_14.9620,Ritrovo Calandra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ritrovo_calandra_38.4907_14.9620.json,custom
38.491708,14.961641,ov_lo_spiedino_eolieano_38.4917_14.9616,Lo Spiedino Eolieano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/lo_spiedino_eolieano_38.4917_14.9616.json,custom
38.493080,14.961520,ov_le_tre_meraviglie_38.4931_14.9615,Le Tre Meraviglie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/le_tre_meraviglie_38.4931_14.9615.json,custom
38.494678,14.961537,ov_ritrovo_calandra_lipari_38.4947_14.9615,Ritrovo Calandra Lipari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ritrovo_calandra_lipari_38.4947_14.9615.json,custom
38.494771,14.961723,ov_d_u_g_i_ph__b_c___sinhair_s__1_nh_t_b_n_38.4948_14.9617,Dầu Gội Phủ Bạc - Sinhair Số 1 Nhật Bản,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/du_gi_ph_bc_-_sinhair_s_1_nht_bn_38.4948_14.9617.json,custom
38.468429,14.956526,ov_isole_lipari_38.4684_14.9565,Isole Lipari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/isole_lipari_38.4684_14.9565.json,custom
38.468620,14.956408,ov_ristorante_filippino_38.4686_14.9564,Ristorante Filippino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ristorante_filippino_38.4686_14.9564.json,custom
38.469542,14.956251,ov_ristorante_la_conchiglia_38.4695_14.9563,Ristorante La Conchiglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ristorante_la_conchiglia_38.4695_14.9563.json,custom
38.474295,14.954799,ov_osteria_san_bartolo_38.4743_14.9548,Osteria San Bartolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/osteria_san_bartolo_38.4743_14.9548.json,custom
38.467212,14.954618,ov_ciuri_ciuri_38.4672_14.9546,Ciuri Ciuri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ciuri_ciuri_38.4672_14.9546.json,custom
38.466951,14.954707,ov_brasseria_del_corso_38.4670_14.9547,Brasseria del corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/brasseria_del_corso_38.4670_14.9547.json,custom
38.467563,14.954823,ov_enolie_38.4676_14.9548,Enolie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/enolie_38.4676_14.9548.json,custom
38.467689,14.954777,ov_l_angolo_del_pesce_38.4677_14.9548,L'Angolo del Pesce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/langolo_del_pesce_38.4677_14.9548.json,custom
38.467853,14.954723,ov_pizzeria_vulcanica_e_ristorante_lipari_38.4679_14.9547,Pizzeria Vulcanica e Ristorante Lipari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/pizzeria_vulcanica_e_ristorante_lipari_38.4679_14.9547.json,custom
38.468877,14.954757,ov_l_anfora_38.4689_14.9548,L'Anfora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/lanfora_38.4689_14.9548.json,custom
38.469109,14.954604,ov_enoteca_lipari___mimmo_paone_e_figli_38.4691_14.9546,Enoteca Lipari - Mimmo Paone e Figli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/enoteca_lipari_-_mimmo_paone_e_figli_38.4691_14.9546.json,custom
38.469701,14.954631,ov_officina_di_mare_38.4697_14.9546,Officina di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/officina_di_mare_38.4697_14.9546.json,custom
38.469879,14.954635,ov_il_galeone_38.4699_14.9546,Il Galeone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/il_galeone_38.4699_14.9546.json,custom
38.469740,14.954552,ov_ristorante_pizzeria_pescecane_38.4697_14.9546,Ristorante Pizzeria Pescecane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ristorante_pizzeria_pescecane_38.4697_14.9546.json,custom
38.469107,14.954958,ov_ristorante_trattoria_del_vicolo_lipari_38.4691_14.9550,Ristorante Trattoria del Vicolo Lipari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ristorante_trattoria_del_vicolo_lipari_38.4691_14.9550.json,custom
38.470039,14.955094,ov_pani_amuri_e_fantasia_38.4700_14.9551,Pani Amuri e Fantasia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/pani_amuri_e_fantasia_38.4700_14.9551.json,custom
38.468980,14.955290,ov_trattoria_da_gaetano__vulcano_gelso_38.4690_14.9553,Trattoria Da Gaetano -Vulcano Gelso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/trattoria_da_gaetano_-vulcano_gelso_38.4690_14.9553.json,custom
38.466665,14.954957,ov_la_piazzetta_38.4667_14.9550,La Piazzetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/la_piazzetta_38.4667_14.9550.json,custom
38.466190,14.955036,ov_liparo_re_ristorante_38.4662_14.9550,Liparo Re Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/liparo_re_ristorante_38.4662_14.9550.json,custom
38.463537,14.955132,ov_ristorante_la_nassa_38.4635_14.9551,Ristorante La Nassa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ristorante_la_nassa_38.4635_14.9551.json,custom
38.463630,14.955175,ov_la_nassa_di_matarazzo_bartolo_38.4636_14.9552,La Nassa di Matarazzo Bartolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/la_nassa_di_matarazzo_bartolo_38.4636_14.9552.json,custom
38.466076,14.954714,ov_a_sartania_38.4661_14.9547,A Sartania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/a_sartania_38.4661_14.9547.json,custom
38.465338,14.954716,ov_osteria_liparota_38.4653_14.9547,Osteria Liparota,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/osteria_liparota_38.4653_14.9547.json,custom
38.465449,14.954610,ov_il_corallo_38.4654_14.9546,Il Corallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/il_corallo_38.4654_14.9546.json,custom
38.466449,14.954581,ov_pasticceria_oscar_38.4664_14.9546,Pasticceria Oscar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/pasticceria_oscar_38.4664_14.9546.json,custom
38.464298,14.954212,ov_sapori_e_salute_38.4643_14.9542,Sapori e Salute,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/sapori_e_salute_38.4643_14.9542.json,custom
38.458661,14.955517,ov_martino_mare_38.4587_14.9555,Martino Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/martino_mare_38.4587_14.9555.json,custom
38.466293,14.955705,ov_la_cambusa_38.4663_14.9557,La Cambusa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/la_cambusa_38.4663_14.9557.json,custom
38.464300,14.956100,ov_al_pirata_ristorante_sul_mare_38.4643_14.9561,Al Pirata Ristorante sul mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/al_pirata_ristorante_sul_mare_38.4643_14.9561.json,custom
38.464200,14.956243,ov_chitarra_bar_38.4642_14.9562,Chitarra Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/chitarra_bar_38.4642_14.9562.json,custom
38.462214,14.956406,ov_la_grotta_del_saraceno_38.4622_14.9564,La Grotta Del Saraceno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/la_grotta_del_saraceno_38.4622_14.9564.json,custom
38.464508,14.956468,ov_marina_corta_pasta___co_38.4645_14.9565,Marina Corta Pasta & Co,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/marina_corta_pasta_co_38.4645_14.9565.json,custom
38.464727,14.956463,ov_il_gabbiano_38.4647_14.9565,Il Gabbiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/il_gabbiano_38.4647_14.9565.json,custom
38.465285,14.956509,ov_da_francesco_ristorante_pizzeria_bar_38.4653_14.9565,Da Francesco Ristorante Pizzeria Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/da_francesco_ristorante_pizzeria_bar_38.4653_14.9565.json,custom
38.464846,14.956649,ov_ristorante_al_pescatore_38.4648_14.9566,Ristorante Al Pescatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ristorante_al_pescatore_38.4648_14.9566.json,custom
38.430498,14.956338,ov_i_grusoni_38.4305_14.9563,I Grusoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/i_grusoni_38.4305_14.9563.json,custom
38.430585,14.956545,ov_i_tenerumi_restaurant_38.4306_14.9565,I Tenerumi Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/i_tenerumi_restaurant_38.4306_14.9565.json,custom
38.430666,14.956920,ov_il_cappero_38.4307_14.9569,Il Cappero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/il_cappero_38.4307_14.9569.json,custom
38.418030,14.952881,ov_ristorante_mari_del_sud_38.4180_14.9529,Ristorante Mari del Sud,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ristorante_mari_del_sud_38.4180_14.9529.json,custom
38.464700,14.953090,ov_fancappero_38.4647_14.9531,FanCappero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/fancappero_38.4647_14.9531.json,custom
38.464603,14.953134,ov_ristorante_pizzeria_le_macine_38.4646_14.9531,Ristorante Pizzeria Le Macine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ristorante_pizzeria_le_macine_38.4646_14.9531.json,custom
38.464798,14.952167,ov_u_zu_peppino_38.4648_14.9522,U Zu Peppino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/u_zu_peppino_38.4648_14.9522.json,custom
38.466329,14.951937,ov_martino_38.4663_14.9519,Martino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/martino_38.4663_14.9519.json,custom
38.465829,14.951939,ov_e_pulera_38.4658_14.9519,E Pulera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/e_pulera_38.4658_14.9519.json,custom
38.469750,14.953020,ov_dolce_salato_lipari_38.4697_14.9530,Dolce Salato Lipari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/dolce_salato_lipari_38.4697_14.9530.json,custom
38.473211,14.951346,ov_ristorante_chimera_38.4732_14.9513,Ristorante Chimera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ristorante_chimera_38.4732_14.9513.json,custom
38.466699,14.950000,ov_taverna_vecchia_marina_38.4667_14.9500,Taverna Vecchia Marina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/taverna_vecchia_marina_38.4667_14.9500.json,custom
38.471513,14.929217,ov_ristorante_pizzeria_i_tre_delfini_38.4715_14.9292,Ristorante Pizzeria I Tre Delfini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ristorante_pizzeria_i_tre_delfini_38.4715_14.9292.json,custom
38.473879,14.928606,ov_ristorante_le_macine_38.4739_14.9286,Ristorante Le Macine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ristorante_le_macine_38.4739_14.9286.json,custom
38.474910,14.924380,ov_ristorante_i_tre_delfini_lipari_38.4749_14.9244,Ristorante I Tre Delfini Lipari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/ristorante_i_tre_delfini_lipari_38.4749_14.9244.json,custom
38.499325,14.919817,ov_a_menza_quartara_38.4993_14.9198,A Menza Quartara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/a_menza_quartara_38.4993_14.9198.json,custom
38.388147,14.985689,ov_il_diavolo_dei_polli___isola_di_vulcano_38.3881_14.9857,Il Diavolo dei Polli - Isola di Vulcano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/il_diavolo_dei_polli_-_isola_di_vulcano_38.3881_14.9857.json,custom
38.369397,14.994018,ov_trattoria_da_pina_38.3694_14.9940,Trattoria da Pina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/trattoria_da_pina_38.3694_14.9940.json,custom
38.465905,14.955579,osm_kasbah_cafe_38.4659_14.9556,Kasbah Cafe,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/lipari/pages/kasbah_cafe_38.4659_14.9556.json,custom
