# lat,lng,id,name,building_type,type,url,page_type
# diamante -- restaurants
39.693492,15.824161,ov_panza_e_crianza_39.6935_15.8242,Panza e Crianza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/panza_e_crianza_39.6935_15.8242.json,custom
39.698260,15.817930,ov_ristorante_la_stella_dell_isola_39.6983_15.8179,Ristorante La Stella Dell'Isola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/ristorante_la_stella_dellisola_39.6983_15.8179.json,custom
39.700470,15.814432,ov_a__capanna_39.7005_15.8144,A' Capanna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/a_capanna_39.7005_15.8144.json,custom
39.708540,15.811912,ov_pizzeria_la_novita_39.7085_15.8119,Pizzeria La Novita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/pizzeria_la_novita_39.7085_15.8119.json,custom
39.708311,15.811877,ov_delizie_siciliane_39.7083_15.8119,Delizie Siciliane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/delizie_siciliane_39.7083_15.8119.json,custom
39.694671,15.814265,ov_ristorante_cristina_sole_pizza_39.6947_15.8143,Ristorante Cristina Sole Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/ristorante_cristina_sole_pizza_39.6947_15.8143.json,custom
39.693681,15.814455,ov_lido_cristina_39.6937_15.8145,Lido Cristina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/lido_cristina_39.6937_15.8145.json,custom
39.693318,15.814604,ov_lido_ipanema_diamante_39.6933_15.8146,Lido Ipanema Diamante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/lido_ipanema_diamante_39.6933_15.8146.json,custom
39.695598,15.815647,ov_ristorante_sala_ricevimenti_a_capanna_39.6956_15.8156,Ristorante Sala Ricevimenti A Capanna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/ristorante_sala_ricevimenti_a_capanna_39.6956_15.8156.json,custom
39.696403,15.817804,ov_ristorante_la_taverna_del_conte_39.6964_15.8178,Ristorante La Taverna Del Conte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/ristorante_la_taverna_del_conte_39.6964_15.8178.json,custom
39.685175,15.816323,ov_palu__39.6852_15.8163,Paluà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/palu_39.6852_15.8163.json,custom
39.683916,15.816230,ov_lido_albatros___ristorante_39.6839_15.8162,Lido Albatros - Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/lido_albatros_-_ristorante_39.6839_15.8162.json,custom
39.682020,15.816470,ov_da_filippo_hot_pizza_39.6820_15.8165,Da Filippo Hot Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/da_filippo_hot_pizza_39.6820_15.8165.json,custom
39.680490,15.817959,ov_pizzeria_bruxelles_39.6805_15.8180,Pizzeria Bruxelles,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/pizzeria_bruxelles_39.6805_15.8180.json,custom
39.679183,15.818622,ov_frija_e_fuja_39.6792_15.8186,Frija e Fuja,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/frija_e_fuja_39.6792_15.8186.json,custom
39.678141,15.818520,ov_a_du_zi_toton_39.6781_15.8185,A Du Zi Toton,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/a_du_zi_toton_39.6781_15.8185.json,custom
39.678303,15.818270,ov_el_sombrero_cantina_mexicana_39.6783_15.8183,El Sombrero Cantina Mexicana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/el_sombrero_cantina_mexicana_39.6783_15.8183.json,custom
39.678077,15.817286,ov_a_casa_mia_ristorante_griglieria_39.6781_15.8173,A Casa Mia Ristorante-Griglieria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/a_casa_mia_ristorante-griglieria_39.6781_15.8173.json,custom
39.678280,15.817780,ov_cala_la_pasta_39.6783_15.8178,Cala la pasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/cala_la_pasta_39.6783_15.8178.json,custom
39.677918,15.817819,ov_osteria_dei_murales_39.6779_15.8178,osteria dei murales,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/osteria_dei_murales_39.6779_15.8178.json,custom
39.677943,15.817865,ov_bacio_salato_39.6779_15.8179,Bacio Salato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/bacio_salato_39.6779_15.8179.json,custom
39.677495,15.817834,ov_lo_spuntino_sul_mare_39.6775_15.8178,Lo Spuntino sul Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/lo_spuntino_sul_mare_39.6775_15.8178.json,custom
39.677622,15.817506,ov_pizzeria_a_cannarutia_39.6776_15.8175,Pizzeria A Cannarutia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/pizzeria_a_cannarutia_39.6776_15.8175.json,custom
39.677812,15.817185,ov_il_gigante_sushi_bar_39.6778_15.8172,Il Gigante Sushi Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/il_gigante_sushi_bar_39.6778_15.8172.json,custom
39.677711,15.817117,ov_bassa_marea_39.6777_15.8171,Bassa Marea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/bassa_marea_39.6777_15.8171.json,custom
39.677165,15.818486,ov_pizzeria_del_corso_39.6772_15.8185,Pizzeria del Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/pizzeria_del_corso_39.6772_15.8185.json,custom
39.678008,15.818280,ov_da_nerone_39.6780_15.8183,Da Nerone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/da_nerone_39.6780_15.8183.json,custom
39.677588,15.818361,ov_a_cucchiarella_39.6776_15.8184,A Cucchiarella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/a_cucchiarella_39.6776_15.8184.json,custom
39.677499,15.818356,ov_sapore_di_mare_39.6775_15.8184,Sapore di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/sapore_di_mare_39.6775_15.8184.json,custom
39.677480,15.818700,ov__n_nmare___nristorante_specialit__di_pes_39.6775_15.8187,\n\nMARE' \nRistorante Specialità di pesce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/nnmare_nristorante_specialit_di_pesce_39.6775_15.8187.json,custom
39.677047,15.819013,ov_la_locanda_di_zio_rocco_39.6770_15.8190,La Locanda Di Zio Rocco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/la_locanda_di_zio_rocco_39.6770_15.8190.json,custom
39.676900,15.819126,ov_u_marinar_restaurant_39.6769_15.8191,U Marinar Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/u_marinar_restaurant_39.6769_15.8191.json,custom
39.677869,15.815345,ov_ristorante_l_approdo_39.6779_15.8153,Ristorante L'Approdo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/ristorante_lapprodo_39.6779_15.8153.json,custom
39.678223,15.816012,ov_dal_capitano_39.6782_15.8160,Dal Capitano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/dal_capitano_39.6782_15.8160.json,custom
39.678266,15.816078,ov_ristorante_panta_rei_39.6783_15.8161,Ristorante Panta Rei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/ristorante_panta_rei_39.6783_15.8161.json,custom
39.678504,15.816797,ov_ristorante_il_diverso_39.6785_15.8168,Ristorante Il Diverso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/ristorante_il_diverso_39.6785_15.8168.json,custom
39.671121,15.827980,ov_itacare_diamante_39.6711_15.8280,Itacare Diamante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/itacare_diamante_39.6711_15.8280.json,custom
39.671547,15.827584,ov_la_guardiola_39.6715_15.8276,La Guardiola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/la_guardiola_39.6715_15.8276.json,custom
39.676435,15.820023,ov_pizzeria_da_francesco_2_0_39.6764_15.8200,Pizzeria da Francesco 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/pizzeria_da_francesco_20_39.6764_15.8200.json,custom
39.675881,15.821004,ov_maramia_39.6759_15.8210,Maramia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/maramia_39.6759_15.8210.json,custom
39.675737,15.822157,ov_pizzeria_pub_the_black_horse_39.6757_15.8222,Pizzeria Pub The Black Horse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/pizzeria_pub_the_black_horse_39.6757_15.8222.json,custom
39.675612,15.821774,ov_voglia_di_pizza_39.6756_15.8218,Voglia di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/voglia_di_pizza_39.6756_15.8218.json,custom
39.677773,15.821473,ov_la_buongustaia_39.6778_15.8215,La Buongustaia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/la_buongustaia_39.6778_15.8215.json,custom
39.677724,15.821543,ov_burger_bomb_39.6777_15.8215,Burger Bomb,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/burger_bomb_39.6777_15.8215.json,custom
39.676970,15.823524,ov_o__scugnizzo_39.6770_15.8235,O' Scugnizzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/o_scugnizzo_39.6770_15.8235.json,custom
39.676562,15.820141,ov_il_capriccio_pub_39.6766_15.8201,Il Capriccio Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/il_capriccio_pub_39.6766_15.8201.json,custom
39.677649,15.819327,ov_sweet_way_39.6776_15.8193,Sweet Way,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/sweet_way_39.6776_15.8193.json,custom
39.679092,15.819664,ov_ristorante_pizzeria_il_giardino_39.6791_15.8197,Ristorante Pizzeria Il Giardino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/ristorante_pizzeria_il_giardino_39.6791_15.8197.json,custom
39.676731,15.823752,ov_il_fornaio_39.6767_15.8238,Il Fornaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/il_fornaio_39.6767_15.8238.json,custom
39.674160,15.825374,ov_lido_u__caricaturu_39.6742_15.8254,Lido u' Caricaturu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/lido_u_caricaturu_39.6742_15.8254.json,custom
39.670415,15.830018,ov_la_pagoda_39.6704_15.8300,La Pagoda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/la_pagoda_39.6704_15.8300.json,custom
39.681922,15.843247,ov_ristorante_il_vecchio_frantoio_39.6819_15.8432,Ristorante Il Vecchio Frantoio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/diamante/pages/ristorante_il_vecchio_frantoio_39.6819_15.8432.json,custom
