# lat,lng,id,name,building_type,type,url,page_type
# castel_gandolfo -- restaurants
41.755770,12.651062,ov_vista_wine_bar_41.7558_12.6511,Vista Wine Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/vista_wine_bar_41.7558_12.6511.json,custom
41.755878,12.651376,ov_al_chiaro_di_luna_41.7559_12.6514,Al chiaro di luna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/al_chiaro_di_luna_41.7559_12.6514.json,custom
41.755899,12.651336,ov_birrodrome_ristorante_pizzeria_41.7559_12.6513,Birrodrome Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/birrodrome_ristorante_pizzeria_41.7559_12.6513.json,custom
41.757397,12.652766,ov_ristorante_la_perla_41.7574_12.6528,Ristorante La Perla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/ristorante_la_perla_41.7574_12.6528.json,custom
41.755561,12.650724,ov_ristorante_il_pozzo_41.7556_12.6507,Ristorante il Pozzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/ristorante_il_pozzo_41.7556_12.6507.json,custom
41.755523,12.650762,ov_pizza_a_taglio_del_lago_41.7555_12.6508,Pizza A Taglio del Lago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/pizza_a_taglio_del_lago_41.7555_12.6508.json,custom
41.755374,12.650705,ov_ristorante_la_scogliera_41.7554_12.6507,Ristorante La Scogliera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/ristorante_la_scogliera_41.7554_12.6507.json,custom
41.755283,12.650519,ov_salvagno_elisabetta_41.7553_12.6505,Salvagno Elisabetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/salvagno_elisabetta_41.7553_12.6505.json,custom
41.749649,12.648785,ov_ristorante_pagnanelli_41.7496_12.6488,Ristorante Pagnanelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/ristorante_pagnanelli_41.7496_12.6488.json,custom
41.749369,12.648470,ov_fa_lu_cioli_porchetta_41.7494_12.6485,FA.LU.CIOLI Porchetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/falucioli_porchetta_41.7494_12.6485.json,custom
41.749903,12.648456,ov_castelli_food_srl_41.7499_12.6485,Castelli Food SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/castelli_food_srl_41.7499_12.6485.json,custom
41.750278,12.648480,ov_ristorante_gardenia_41.7503_12.6485,Ristorante Gardenia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/ristorante_gardenia_41.7503_12.6485.json,custom
41.741758,12.644085,ov_agriturismo_casale_degli_archi_41.7418_12.6441,Agriturismo Casale degli Archi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/agriturismo_casale_degli_archi_41.7418_12.6441.json,custom
41.747270,12.633800,ov_lounge_1416_41.7473_12.6338,Lounge 1416,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/lounge_1416_41.7473_12.6338.json,custom
41.746290,12.647837,ov_pizzeria_al_taglio_pizza_pazza_41.7463_12.6478,Pizzeria al taglio Pizza Pazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/pizzeria_al_taglio_pizza_pazza_41.7463_12.6478.json,custom
41.747300,12.648508,ov_il_fornaio_41.7473_12.6485,Il Fornaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/il_fornaio_41.7473_12.6485.json,custom
41.746284,12.650362,ov_l_emporio_di_cagnoli_elia_41.7463_12.6504,L'Emporio di Cagnoli Elia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/lemporio_di_cagnoli_elia_41.7463_12.6504.json,custom
41.746518,12.650068,ov_tinello_bistrot_41.7465_12.6501,Tinello Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/tinello_bistrot_41.7465_12.6501.json,custom
41.746619,12.650108,ov_baruffa_restaurant_bistrot_41.7466_12.6501,Baruffa Restaurant Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/baruffa_restaurant_bistrot_41.7466_12.6501.json,custom
41.745991,12.650556,ov_roma___piazza_sor_capanna_41.7460_12.6506,Roma - Piazza Sor Capanna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/roma_-_piazza_sor_capanna_41.7460_12.6506.json,custom
41.745773,12.650753,ov_trattoria_la_scarpetta_41.7458_12.6508,Trattoria La Scarpetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/trattoria_la_scarpetta_41.7458_12.6508.json,custom
41.745697,12.650664,ov_pastanostra_41.7457_12.6507,Pastanostra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/pastanostra_41.7457_12.6507.json,custom
41.745118,12.650952,ov_pizzeria_l_acquolina_41.7451_12.6510,Pizzeria L'acquolina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/pizzeria_lacquolina_41.7451_12.6510.json,custom
41.744669,12.651044,ov_attila_ristorante_41.7447_12.6510,Attila Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/attila_ristorante_41.7447_12.6510.json,custom
41.745010,12.651341,ov_la_cruna_del_lago_41.7450_12.6513,La Cruna del Lago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/la_cruna_del_lago_41.7450_12.6513.json,custom
41.745349,12.651187,ov_bucci_41.7453_12.6512,Bucci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/bucci_41.7453_12.6512.json,custom
41.745769,12.650983,ov_rione_castel_gandolfo_41.7458_12.6510,Rione Castel Gandolfo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/rione_castel_gandolfo_41.7458_12.6510.json,custom
41.745291,12.650880,ov_arte_e_vino_41.7453_12.6509,Arte e Vino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/arte_e_vino_41.7453_12.6509.json,custom
41.745315,12.650819,ov_hosteria_la_fraschetta_di_padre_in_figli_41.7453_12.6508,Hosteria La Fraschetta di Padre in Figlio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/hosteria_la_fraschetta_di_padre_in_figli_41.7453_12.6508.json,custom
41.746251,12.650797,ov_lo_spuntino_41.7463_12.6508,Lo Spuntino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/lo_spuntino_41.7463_12.6508.json,custom
41.746243,12.651038,ov_il_grottino_41.7462_12.6510,Il Grottino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/il_grottino_41.7462_12.6510.json,custom
41.739458,12.655878,ov_le_fratte_ignoranti_41.7395_12.6559,Le Fratte Ignoranti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/le_fratte_ignoranti_41.7395_12.6559.json,custom
41.735466,12.653346,ov_casa_torgioli_41.7355_12.6533,Casa Torgioli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/casa_torgioli_41.7355_12.6533.json,custom
41.682603,12.780134,ov_la_locanda_da_pino_41.6826_12.7801,La Locanda Da Pino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/la_locanda_da_pino_41.6826_12.7801.json,custom
41.742276,12.656596,ov_trattoria_ricciotti_41.7423_12.6566,Trattoria Ricciotti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/trattoria_ricciotti_41.7423_12.6566.json,custom
41.761329,12.660262,ov_zevini_41.7613_12.6603,Zevini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/zevini_41.7613_12.6603.json,custom
41.761202,12.661762,ov_la_quintessa_41.7612_12.6618,La Quintessa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/la_quintessa_41.7612_12.6618.json,custom
41.761099,12.662553,ov_qhome_41.7611_12.6626,QHome,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/qhome_41.7611_12.6626.json,custom
41.760799,12.664181,ov_pesce___pizza_41.7608_12.6642,Pesce & Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/pesce_pizza_41.7608_12.6642.json,custom
41.760351,12.665099,ov_da_agnese_41.7604_12.6651,Da Agnese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/da_agnese_41.7604_12.6651.json,custom
41.760552,12.664891,ov_wunderkammer_41.7606_12.6649,Wunderkammer,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/wunderkammer_41.7606_12.6649.json,custom
41.759336,12.668779,ov_angolo_verde_41.7593_12.6688,Angolo Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/angolo_verde_41.7593_12.6688.json,custom
41.756188,12.675269,ov_ristorante_villa_degli_angeli_41.7562_12.6753,Ristorante Villa degli Angeli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/ristorante_villa_degli_angeli_41.7562_12.6753.json,custom
41.761380,12.660510,ov_varano_s_41.7614_12.6605,Varano's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/varanos_41.7614_12.6605.json,custom
41.761609,12.658133,ov_la_terza_rima_41.7616_12.6581,La Terza Rima,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/la_terza_rima_41.7616_12.6581.json,custom
41.761816,12.658157,ov_regina_di_cuori_ristorante_41.7618_12.6582,Regina Di Cuori Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/regina_di_cuori_ristorante_41.7618_12.6582.json,custom
41.744177,12.649522,osm_si_food_bistrot_41.7442_12.6495,Si Food Bistrot,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/si_food_bistrot_41.7442_12.6495.json,custom
41.750326,12.648640,osm_la_gardenia_41.7503_12.6486,La Gardenia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/la_gardenia_41.7503_12.6486.json,custom
41.763327,12.654475,osm_gola___restaurant___garden_bar_41.7633_12.6545,Gola - Restaurant & Garden Bar,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/gola_-_restaurant_garden_bar_41.7633_12.6545.json,custom
41.755843,12.651176,osm_ristorante_paradiso_41.7558_12.6512,Ristorante Paradiso,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/ristorante_paradiso_41.7558_12.6512.json,custom
41.757561,12.652723,osm_la_perla_41.7576_12.6527,La Perla,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/la_perla_41.7576_12.6527.json,custom
41.755538,12.650497,osm_pizzeria_del_lago_41.7555_12.6505,Pizzeria del Lago,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/pizzeria_del_lago_41.7555_12.6505.json,custom
41.761118,12.663773,osm_new_fortuna_41.7611_12.6638,New Fortuna,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/new_fortuna_41.7611_12.6638.json,custom
41.761042,12.664231,osm_pesce___p_41.7610_12.6642,Pesce & P,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/pesce_p_41.7610_12.6642.json,custom
41.750614,12.651726,osm_la_ola_41.7506_12.6517,La ola,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/la_ola_41.7506_12.6517.json,custom
